"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.12.2021","9,49","9,58","9,79","9,32","5,48M","-0,42%"
"22.12.2021","9,53","9,58","9,89","9,41","8,69M","0,21%"
"21.12.2021","9,51","9,98","10,10","9,44","7,31M","-3,65%"
"20.12.2021","9,87","9,90","10,36","9,73","9,24M","-3,80%"
"17.12.2021","10,26","10,78","10,78","10,02","15,26M","-6,04%"
"16.12.2021","10,92","11,71","11,90","10,74","8,06M","-5,21%"
"15.12.2021","11,52","10,99","11,55","10,61","9,51M","4,07%"
"14.12.2021","11,07","12,30","12,35","11,01","8,30M","-7,67%"
"13.12.2021","11,99","12,41","13,15","11,91","7,96M","-3,38%"
"10.12.2021","12,41","12,12","12,74","12,00","6,17M","4,81%"
"09.12.2021","11,84","12,42","13,09","11,68","12,67M","-5,66%"
"08.12.2021","12,55","12,28","12,77","11,98","9,21M","1,37%"
"07.12.2021","12,38","11,29","12,38","11,27","11,36M","12,14%"
"06.12.2021","11,04","11,17","11,64","11,00","7,37M","-0,45%"
"03.12.2021","11,09","10,87","11,85","10,82","10,52M","-0,98%"
"02.12.2021","11,20","11,70","11,82","11,06","9,81M","-1,50%"
"01.12.2021","11,37","12,36","12,70","11,23","9,61M","-4,85%"
"30.11.2021","11,95","12,35","12,99","11,81","9,74M","-4,40%"
"29.11.2021","12,50","12,50","12,95","12,14","12,83M","3,99%"
"26.11.2021","12,02","11,99","12,27","11,63","6,60M","-4,98%"
"25.11.2021","12,65","12,14","13,12","12,14","6,94M","4,72%"
"24.11.2021","12,08","11,40","12,42","11,26","8,37M","2,81%"
"23.11.2021","11,75","12,20","12,26","10,95","11,34M","-1,09%"
"22.11.2021","11,88","13,59","13,94","11,86","12,94M","-12,65%"
"19.11.2021","13,60","13,04","14,16","12,62","9,97M","3,19%"
"18.11.2021","13,18","13,55","13,89","12,93","7,86M","-1,72%"
"17.11.2021","13,41","14,76","14,86","12,99","8,53M","-6,68%"
"16.11.2021","14,37","15,17","15,42","13,88","7,27M","-3,82%"
"12.11.2021","14,94","15,95","16,30","14,50","11,27M","-5,38%"
"11.11.2021","15,79","15,07","16,45","14,97","13,20M","6,33%"
"10.11.2021","14,85","14,70","15,97","14,40","16,07M","2,56%"
"09.11.2021","14,48","14,60","14,85","14,04","11,02M","0,70%"
